Date,Commodity,Index (Jan 2005 = 100)
01/01/2006,Wheat,71.7
01/02/2006,Wheat,77.5
01/03/2006,Wheat,76.3
01/04/2006,Wheat,77.9
01/05/2006,Wheat,85.0
01/06/2006,Wheat,85.8
01/07/2006,Wheat,87.8
01/08/2006,Wheat,84.0
01/09/2006,Wheat,87.0
01/10/2006,Wheat,91.7
01/11/2006,Wheat,90.9
01/12/2006,Wheat,90.0
01/01/2007,Wheat,85.8
01/02/2007,Wheat,86.7
01/03/2007,Wheat,85.8
01/04/2007,Wheat,86.5
01/05/2007,Wheat,83.2
01/06/2007,Wheat,95.1
01/07/2007,Wheat,103.5
01/08/2007,Wheat,113.2
01/09/2007,Wheat,143.0
01/10/2007,Wheat,142.6
01/11/2007,Wheat,136.5
01/12/2007,Wheat,155.1
01/01/2008,Wheat,155.2
01/02/2008,Wheat,179.8
01/03/2008,Wheat,183.0
01/04/2008,Wheat,157.0
01/05/2008,Wheat,140.3
01/06/2008,Wheat,149.7
01/07/2008,Wheat,142.7
01/08/2008,Wheat,141.3
01/09/2008,Wheat,127.7
01/10/2008,Wheat,106.8
01/11/2008,Wheat,102.5
01/12/2008,Wheat,99.5
01/01/2009,Wheat,110.2
01/02/2009,Wheat,102.7
01/03/2009,Wheat,104.0
01/04/2009,Wheat,106.0
01/05/2009,Wheat,115.4
01/06/2009,Wheat,112.0
01/07/2009,Wheat,99.8
01/08/2009,Wheat,92.6
01/09/2009,Wheat,85.7
01/10/2009,Wheat,89.4
01/11/2009,Wheat,97.0
01/12/2009,Wheat,94.5
01/01/2010,Wheat,89.7
01/02/2010,Wheat,87.6
01/03/2010,Wheat,86.7
01/04/2010,Wheat,84.7
01/05/2010,Wheat,81.3
01/06/2010,Wheat,76.3
01/07/2010,Wheat,91.9
01/08/2010,Wheat,117.5
01/09/2010,Wheat,129.6
01/10/2010,Wheat,123.2
01/11/2010,Wheat,122.8
01/12/2010,Wheat,136.6
01/01/2011,Wheat,142.9
01/02/2011,Wheat,151.7
01/03/2011,Wheat,140.0
01/04/2011,Wheat,146.8
01/05/2011,Wheat,149.7
01/06/2011,Wheat,138.9
01/07/2011,Wheat,126.8
01/08/2011,Wheat,139.3
01/09/2011,Wheat,134.7
01/10/2011,Wheat,124.9
01/11/2011,Wheat,121.2
01/12/2011,Wheat,119.9
01/01/2012,Wheat,120.0
01/02/2012,Wheat,121.6
01/03/2012,Wheat,123.3
01/04/2012,Wheat,113.5
01/05/2012,Wheat,115.2
01/06/2012,Wheat,119.3
01/07/2012,Wheat,145.7
01/08/2012,Wheat,148.1
01/09/2012,Wheat,155.4
01/10/2012,Wheat,152.4
01/11/2012,Wheat,151.5
01/12/2012,Wheat,145.0
01/01/2013,Wheat,139.6
01/02/2013,Wheat,135.2
01/03/2013,Wheat,130.3
01/04/2013,Wheat,130.0
01/05/2013,Wheat,132.9
01/06/2013,Wheat,128.8
01/07/2013,Wheat,124.2
01/08/2013,Wheat,125.4
01/09/2013,Wheat,125.0
01/10/2013,Wheat,132.6
01/11/2013,Wheat,126.3
01/12/2013,Wheat,119.1
01/01/2014,Wheat,113.0
01/02/2014,Wheat,119.3
01/03/2014,Wheat,132.7
01/04/2014,Wheat,130.3
01/05/2014,Wheat,132.7
01/06/2014,Wheat,123.3
01/07/2014,Wheat,113.9
01/08/2014,Wheat,110.4
01/09/2014,Wheat,106.2
01/10/2014,Wheat,110.0
01/11/2014,Wheat,108.5
01/12/2014,Wheat,111.2
01/01/2015,Wheat,100.0
01/02/2015,Wheat,95.8
01/03/2015,Wheat,95.4
01/04/2015,Wheat,92.9
01/05/2015,Wheat,88.7
01/06/2015,Wheat,90.6
01/07/2015,Wheat,89.5
01/08/2015,Wheat,81.9
01/09/2015,Wheat,83.1
01/10/2015,Wheat,82.1
01/11/2015,Wheat,79.5
01/12/2015,Wheat,80.6
01/01/2016,Wheat,80.1
01/02/2016,Wheat,76.7
01/03/2016,Wheat,77.8
01/04/2016,Wheat,74.8
01/05/2016,Wheat,72.9
01/06/2016,Wheat,74.4
01/07/2016,Wheat,70.1
01/08/2016,Wheat,71.2
01/09/2016,Wheat,70.8
01/10/2016,Wheat,71.5
01/11/2016,Wheat,70.8
01/12/2016,Wheat,69.3
01/01/2017,Wheat,75.1
01/02/2017,Wheat,78.4
01/03/2017,Wheat,73.6
01/04/2017,Wheat,70.4
01/05/2017,Wheat,74.5
01/06/2017,Wheat,84.4
01/01/2006,Rice,75.8
01/02/2006,Rice,79.0
01/03/2006,Rice,79.6
01/04/2006,Rice,79.7
01/05/2006,Rice,80.3
01/06/2006,Rice,81.6
01/07/2006,Rice,83.1
01/08/2006,Rice,83.4
01/09/2006,Rice,83.4
01/10/2006,Rice,82.3
01/11/2006,Rice,79.9
01/12/2006,Rice,82.0
01/01/2007,Rice,82.3
01/02/2007,Rice,83.1
01/03/2007,Rice,85.7
01/04/2007,Rice,84.1
01/05/2007,Rice,83.8
01/06/2007,Rice,85.2
01/07/2007,Rice,86.4
01/08/2007,Rice,85.9
01/09/2007,Rice,85.6
01/10/2007,Rice,86.2
01/11/2007,Rice,91.9
01/12/2007,Rice,97.3
01/01/2008,Rice,100.9
01/02/2008,Rice,123.5
01/03/2008,Rice,172.8
01/04/2008,Rice,262.3
01/05/2008,Rice,260.7
01/06/2008,Rice,215.8
