Sector,Year,Inputs,Outputs,Productivity
Manufacturing,2000,100.0,100.0,100.0
Manufacturing,2001,98.2,99.0,101.2
Manufacturing,2002,101.9,100.6,100.3
Manufacturing,2003,101.0,102.9,103.2
Manufacturing,2004,102.0,105.3,104.8
Manufacturing,2005,102.4,105.4,105.5
Manufacturing,2006,98.8,103.2,107.4
Manufacturing,2007,95.7,100.6,106.9
Manufacturing,2008,93.9,102.3,110.0
Manufacturing,2009,97.2,104.8,109.7
Manufacturing,2010,95.1,104.6,110.7
Manufacturing,2011,89.8,100.1,110.5
Manufacturing,2012,91.7,101.4,109.9
Manufacturing,2013,88.4,99.0,110.6
Manufacturing,2014,94.0,101.5,107.4
Manufacturing,2015,95.5,102.7,107.8
Wholesale,2000,100.0,100.0,100.0
Wholesale,2001,97.4,99.4,101.8
Wholesale,2002,100.8,100.4,99.7
Wholesale,2003,103.0,103.8,101.1
Wholesale,2004,101.8,104.8,102.9
Wholesale,2005,105.5,106.5,101.2
Wholesale,2006,100.0,104.2,104.2
Wholesale,2007,104.6,109.4,104.7
Wholesale,2008,97.3,104.4,106.4
Wholesale,2009,101.5,106.8,105.2
Wholesale,2010,105.1,111.4,105.8
Wholesale,2011,100.6,108.4,107.5
Wholesale,2012,98.8,107.8,108.0
Wholesale,2013,95.5,105.0,108.8
Wholesale,2014,95.3,103.1,107.6
Wholesale,2015,98.4,104.4,106.2
Retail,2000,100.0,100.0,100.0
Retail,2001,99.5,95.7,96.9
Retail,2002,104.5,97.6,95.3
Retail,2003,105.1,100.4,97.2
Retail,2004,108.9,104.6,98.7
Retail,2005,113.9,108.0,98.5
Retail,2006,117.2,113.3,100.5
Retail,2007,116.7,113.9,101.5
Retail,2008,100.5,99.4,101.0
Retail,2009,100.4,99.4,100.8
Retail,2010,98.6,98.5,99.9
Retail,2011,97.1,95.8,100.0
Retail,2012,96.4,96.8,101.1
Retail,2013,93.8,96.8,103.4
Retail,2014,100.3,97.8,98.8
Retail,2015,105.8,104.0,100.3
Catering,2000,100.0,100.0,100.0
Catering,2001,104.4,102.1,100.7
Catering,2002,105.2,105.5,100.0
Catering,2003,107.0,107.8,99.1
Catering,2004,113.7,117.6,103.1
Catering,2005,116.0,117.3,102.1
Catering,2006,112.7,115.6,101.6
Catering,2007,113.8,113.9,100.4
Catering,2008,114.8,112.3,98.5
Catering,2009,115.4,106.5,95.1
Catering,2010,110.9,107.0,98.4
Catering,2011,112.6,108.3,99.5
Catering,2012,112.5,106.5,98.4
Catering,2013,114.8,107.9,97.1
Catering,2014,121.4,110.2,97.2
Catering,2015,126.5,115.1,98.8
Food chain,2000,100.0,100.0,100.0
Food chain,2001,99.3,98.6,100.0
Food chain,2002,102.9,100.4,98.6
Food chain,2003,103.8,103.2,100.1
Food chain,2004,105.9,106.9,102.2
Food chain,2005,108.9,108.3,101.5
Food chain,2006,107.1,108.4,103.1
Food chain,2007,107.5,108.9,103.2
Food chain,2008,100.0,103.5,104.4
Food chain,2009,102.1,104.0,103.4
Food chain,2010,101.2,105.0,104.1
Food chain,2011,98.4,102.2,104.8
Food chain,2012,98.2,102.5,104.9
Food chain,2013,96.0,101.3,105.8
Food chain,2014,100.5,102.2,103.3
Food chain,2015,104.2,105.4,103.6
