Year,Commodity,Stock to consumption ratio
89/90,Wheat,0.26
90/91,Wheat,0.31
91/92,Wheat,0.29
92/93,Wheat,0.32
93/94,Wheat,0.33
94/95,Wheat,0.30
95/96,Wheat,0.29
96/97,Wheat,0.29
97/98,Wheat,0.34
98/99,Wheat,0.36
99/00,Wheat,0.36
00/01,Wheat,0.35
01/02,Wheat,0.35
02/03,Wheat,0.28
03/04,Wheat,0.23
04/05,Wheat,0.26
05/06,Wheat,0.25
06/07,Wheat,0.22
07/08,Wheat,0.21
08/09,Wheat,0.27
09/10,Wheat,0.31
10/11,Wheat,0.30
11/12,Wheat,0.29
12/13,Wheat,0.26
13/14,Wheat,0.28
14/15,Wheat,0.31
15/16,Wheat,0.34
16/17,Wheat,0.35
89/90,Coarse Grains,0.23
90/91,Coarse Grains,0.24
91/92,Coarse Grains,0.24
92/93,Coarse Grains,0.27
93/94,Coarse Grains,0.22
94/95,Coarse Grains,0.23
95/96,Coarse Grains,0.20
96/97,Coarse Grains,0.23
97/98,Coarse Grains,0.25
98/99,Coarse Grains,0.27
99/00,Coarse Grains,0.27
00/01,Coarse Grains,0.24
01/02,Coarse Grains,0.22
02/03,Coarse Grains,0.19
03/04,Coarse Grains,0.15
04/05,Coarse Grains,0.18
05/06,Coarse Grains,0.17
06/07,Coarse Grains,0.14
07/08,Coarse Grains,0.15
08/09,Coarse Grains,0.18
09/10,Coarse Grains,0.17
10/11,Coarse Grains,0.14
11/12,Coarse Grains,0.14
12/13,Coarse Grains,0.14
13/14,Coarse Grains,0.17
14/15,Coarse Grains,0.20
15/16,Coarse Grains,0.20
16/17,Coarse Grains,0.20
89/90,Rice,0.36
90/91,Rice,0.37
91/92,Rice,0.36
92/93,Rice,0.35
93/94,Rice,0.33
94/95,Rice,0.32
95/96,Rice,0.32
96/97,Rice,0.32
97/98,Rice,0.34
98/99,Rice,0.35
99/00,Rice,0.36
00/01,Rice,0.37
01/02,Rice,0.32
02/03,Rice,0.25
03/04,Rice,0.20
04/05,Rice,0.18
05/06,Rice,0.19
06/07,Rice,0.18
07/08,Rice,0.19
08/09,Rice,0.21
09/10,Rice,0.22
10/11,Rice,0.23
11/12,Rice,0.23
12/13,Rice,0.25
13/14,Rice,0.24
14/15,Rice,0.24
15/16,Rice,0.25
16/17,Rice,0.25
